session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Kevin C. Karnes,Emory University,Inventing Eastern Europe in the Ear of the Enlightenment
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Danielle M. Kuntz,Baldwin Wallace University,"Old Lisbon, New Rome: Marginalized Voices in Early Eighteenth-Century Portuguese Villancico and Oratorio"
Centuries ,AMS,Grand Ballroom D,Thomas Irvine,University of Southampton,NA,NA,Craig Russell,Cal Poly,"Smudged Blotches, Glued Paste-overs, and Crosshatched Rewrites: Uncovering Sumaya's MuriÃ³ por el pecado and His Compositional Process"
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Sumanth Gopinath,University of Minnesota,Marxism and Minimalism: A Troubled Intersection
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Stephan Hammel,"University of California, Irvine",The Conceptual Foundations of Historical Musical Materialism
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Jarek Ervin,University of Virginia,"Popular Music Studies, Marxism, and the Cultural"
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,"Concept"" Naomi Waltham-Smith",University of Pennsylvania,'Are You Deaf?' Historical Materialism
Music and Historical Materialism ,SMT,Pavilion Ballroom D,Brian Kane,Yale University,NA,NA,Eric Dro,University of Texas at Austin,"Music, Technology, Music-As-Technology"
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Megan Eagen,University of North Carolina at Chapel Hill,'A Literary . . . or Musical Gift': Erasmus Rotenbucher's Bergkreyen as a Primer for Protestant Lay Exegesis
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Barbara Eichner,Oxford Brookes University,The Woman at the Well: Divine and Earth(l)y Love in Orlando di Lasso's Parody Masses
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Mary Ellen Ryan,Indiana University,'Our Enemies Are Gathered Together': The Politics of Motets in the Newberry Partbooks
Sacred/Secular Exegetical Practices ,AMS,Grand Ballroom B,Jessie Ann Owens,"University of California, Davis",NA,NA,Sienna Wood,University of Colorado at Boulder,"Anti-Inquisition Propaganda at the Outbreak of the Dutch Revolt: NoÃ© Faignient's Chansons, madrigales et motetz"
Theater ,AMS,Port Alberni,Gundula Kreuzer,Yale University,NA,NA,Annelies Andries,Yale University,Dreaming 'OpÃ©ra de Luxe': Spectacle in Le Sueur's Ossian ou les Bardes
Theater ,AMS,Port Alberni,Gundula Kreuzer,Yale University,NA,NA,Katherine Hambridge,Durham University,'Genre Consciousness' in the Napoleonic Theater
Circuits of Empire ,AMS,Grand Ballroom A,Brigid Cohen,New York University,NA,NA,Bradley Shope,Texas A & M Corpus Christi,Trilateral Exchanges: Ragtime in Bombay in the 1910s and Its Musical Connections with London
Circuits of Empire ,AMS,Grand Ballroom A,Brigid Cohen,New York University,NA,NA,Gavin Williams,University of Cambridge,"Sound, Colony, and the Multinational: The Gramophone Company between London and Singapore, 1900â€“10"
The Eloquent Body ,AMS,Port McNeill,Janette Tilley,"Lehman College / Graduate Center, CUNY",NA,NA,Christina Hutten,University of British Columbia,The Claveciniste's Eloquent Body: Gestural Rhetoric in French Baroque Harpsichord Playing
The Eloquent Body ,AMS,Port McNeill,Janette Tilley,"Lehman College / Graduate Center, CUNY",NA,NA,Bettina Varwig,King's College London,'Mein Herze schwimmt im Blut': Early Modern Physiologies and Metaphors of the Heart
Holograms and Hauntings ,AMS,Grand Ballroom C,Joseph Auner,Tufts University,NA,NA,Lucie Vagnerova,Columbia University,"Blackness, Telepresence, and the Carceral State: Listening to the Hologram in American Music"
Holograms and Hauntings ,AMS,Grand Ballroom C,Joseph Auner,Tufts University,NA,NA,Griffin Woodworth,Inver Hills Community College,Symphonic Funk and the Discourse of 'Hot Rhythm' in the Music of Prince
Performing Meter ,SMT,Pavilion Ballroom B,Mitchell Ohriner,Shenandoah University,NA,NA,Richard Beaudoin,"Brandeis University and The Royal Academy of Music, London",Creaking Chairs and Metric Clarity: Microtiming Glenn Gould Recording Schoenberg op. 19/1
Performing Meter ,SMT,Pavilion Ballroom B,Mitchell Ohriner,Shenandoah University,NA,NA,Galen DeGraf,Columbia University,Types of Temporal Knowledge beyond the Mode of Attending
Reforming the Nation ,AMS,Junior Ballroom D,Carol A. Hess,"University of California, Davis",NA,NA,Marco Cosci,Fondazione Giorgio Cini,Listening to Another Italy: New Music for Ancestral Legacies in 1960s Italian Documentaries
Reforming the Nation ,AMS,Junior Ballroom D,Carol A. Hess,"University of California, Davis",NA,NA,Christina Taylor Gibson,Catholic University of America,'Whirling Around Mexico': Mabel Dodge Luhan and Carlos ChÃ¡vez
Versions ,AMS,Junior Ballroom A/B,John Deathridge,King's College London,NA,NA,Paul Hawkshaw,Yale University,A Bequest and a Legacy: Editing Anton Bruckner's Music in 'Later Times'
Versions ,AMS,Junior Ballroom A/B,John Deathridge,King's College London,NA,NA,Benjamin Korstved,Clark University,'It Will Now Achieve its Effect': Toward a Longer View of the Processes of Symphonic Composition
Alla Bastarda ,AMS,Port McNeill,Emily Wilbourne,"Queens College / Graduate Center, CUNY",NA,NA,Paul Schleuse,Binghamton University,"Transgendered Voices in Early-Modern Italy: Cantare alla bastarda, Everyday Virtuosity, and Performing Otherness"
Alla Bastarda ,AMS,Port McNeill,Emily Wilbourne,"Queens College / Graduate Center, CUNY",NA,NA,Nina Treadwell,"University of California, Santa Cruz",Anamorphic Display: The basso alla bastarda as Progenitor
Body and Spirit ,SMT,Pavilion Ballroom B,Arnie Cox,Oberlin College & Conservatory,NA,NA,Rosa Abrahams,Northwestern University,Synchronization in the Synagogue
Brazil and the Difference Within ,AMS,Junior Ballroom D,Leonora Saavedra,"University of California, Riverside",NA,NA,Rogerio Budasz,"University of California, Riverside",Outsiders and Insiders: Musical Practices of African and Brazil-Born Slaves as recorded in Brazilian Newspapers
Brazil and the Difference Within ,AMS,Junior Ballroom D,Leonora Saavedra,"University of California, Riverside",NA,NA,Silvio dos Santos,University of Florida,'Mata cacique' (Kill the Indian Chief ): The Crossroad Between Musical Activism and Indigenous Imagination in Brazilian Music
Dystopic Soundtracks ,AMS,Port Alberni,Julie Hubber,University of South Carolina,NA,NA,Rebecca Fulop,Oberlin College & Conservatory,A 'most authentic American folk music': Nostalgia and Colonialism in the Soundtrack of The Man in the High Castle
Dystopic Soundtracks ,AMS,Port Alberni,Julie Hubber,University of South Carolina,NA,NA,Katherine Reed,Utah Valley University,'Hooked to the Silver Screen': David Bowie's
Dystopic Soundtracks ,AMS,Port Alberni,Julie Hubber,University of South Carolina,NA,NA,Emily Dolan,Harvard University,Mendacious Technology
Dystopic Soundtracks ,AMS,Port Alberni,Julie Hubber,University of South Carolina,NA,NA,Roger Moseley,Cornell University,Grids and Filters: Chopinian Methods of (Dis)closure
,AMS,Junior Ballroom A/B,Francesca Brittan,Case Western Reserve University,NA,NA,Anna McCready,Royal College of Music,The 'Girouette' Effect: Les Pages du duc de VendÃ´me and Political Iconography in 1820
,AMS,Junior Ballroom A/B,Francesca Brittan,Case Western Reserve University,NA,NA,Tommaso Sabbatini,University of Chicago,Beyond Opera and Musical Theater: Rethinking Nineteenth-Century Parisian Theater with Music through the Lens of FÃ©erie
Sharing the Gospel ,AMS,Grand Ballroom C,Mark Burford,Reed College,NA,NA,C. Megan MacDonald,Florida State University,Embodying Faith and Fandom: Songs of Identity in Depression-Era Gospel Singing Communities
Sharing the Gospel ,AMS,Grand Ballroom C,Mark Burford,Reed College,NA,NA,Braxton Shelley,University of Chicago,'Tuning Up' in Contemporary Gospel Performance
Musical Disciplines ,AMS,Pavilion Ballroom D,Jonathan Service,University of Oxford,Richard Miller,University of Nevada-Las Vegas,Jonathan Service,University of Oxford,Tanaka ShÃ´hei's Quixotic Quest for Just Intonation and Pure Ears
Musical Disciplines ,AMS,Pavilion Ballroom D,Jonathan Service,University of Oxford,Richard Miller,University of Nevada-Las Vegas,Julia Kursell,University of Amsterdam,A Well-Tuned History of the Music of the World: Helmholtz's Investigation into the Material Conditions of Hearing
Musical Disciplines ,AMS,Pavilion Ballroom D,Jonathan Service,University of Oxford,Richard Miller,University of Nevada-Las Vegas,Daniel Walden,Harvard University,Emancipating Microtones: Nineteenth-Century Experiments with 53-Tone Equal Temperament
Musical Disciplines ,AMS,Pavilion Ballroom D,Jonathan Service,University of Oxford,Richard Miller,University of Nevada-Las Vegas,Benjamin Steege,Columbia University,The Ambivalent Ethics of Comparative Musicology: A Japanese Case Study
Jazz and the In Between ,AMS,Junior Ballroom D,Graeme Boone,Ohio State University,NA,NA,Ritwik Banerji,"University of California, Berkeley",Outlining a Phenomenology of Ethics: Moral Failures in the Listening Practices of an Artificially-Intelligent 'Free' Improviser
Jazz and the In Between ,AMS,Junior Ballroom D,Graeme Boone,Ohio State University,NA,NA,Darren LaCour,Lindenwood University,"Composing within the Lines, Working behind the Scenes: Duke Ellington, Billy Strayhorn, and Dick Vance's Arrangements for At the"
Jazz and the In Between ,AMS,Junior Ballroom D,Graeme Boone,Ohio State University,NA,NA,Lucille Mok,"Chicago, Ill.",Earwitnessing Jazz and the Leonard Feather Blindfold Tests
Jazz and the In Between ,AMS,Junior Ballroom D,Graeme Boone,Ohio State University,NA,NA,J. Cole Ritchie,University of North Texas,Recent Jazz Arrangements of Western Art Music as Foreignized Translations
National Entanglements ,AMS,Pavilion Ballroom C,KlÃ¡ra MÃ³ricz,Amherst College,NA,NA,Thomas Irvine,University of Southampton,Hubert Parry's Dream of German Music
National Entanglements ,AMS,Pavilion Ballroom C,KlÃ¡ra MÃ³ricz,Amherst College,NA,NA,Ditlev Rindom,University of Cambridge,Italians Abroad: The Milan Exposition of 1906
National Entanglements ,AMS,Pavilion Ballroom C,KlÃ¡ra MÃ³ricz,Amherst College,NA,NA,Kelly St. Pierre,Wichita State University,"Measuring a Czech Ethnicity: Musicology, Race,"
National Entanglements ,AMS,Pavilion Ballroom C,KlÃ¡ra MÃ³ricz,Amherst College,NA,NA,Aidan Thomson,"Queen's University, Belfas","Bax's In Memoriam: Memory, Martyrdom and Modalities of Irishness"
Re-Making Radio ,AMS,Junior Ballroom C,Christina Baade,McMaster University,Christina Baade,McMaster University,Brian Kane,Yale University,Your Hit Parade and the Soundscape of Standards
Re-Making Radio ,AMS,Junior Ballroom C,Christina Baade,McMaster University,Christina Baade,McMaster University,Jennifer Iverson,University of Chicago,Beyond Darmstadt: Radio and the West German
Re-Making Radio ,AMS,Junior Ballroom C,Christina Baade,McMaster University,Christina Baade,McMaster University,"New-Music Ecology"" Joshua Tucker",Brown University,"Broadcast Sound as Cultural and Natural Resource: Indigenous Music, Community Radio, and Ecological Activism in the Peruvian Andes"
Re-Making Radio ,AMS,Junior Ballroom C,Christina Baade,McMaster University,Christina Baade,McMaster University,Eric Dro,University of Texas at Austin,Music as a Technology of Surveillance
in the Twenty-First Century ,AMS,Junior Ballroom A/B,Suzanne Cusick,New York University,NA,NA,NA,NA,NA
News from the Ars Nova ,AMS,Pavilion Ballroom A,Anne Stone,"Graduate Center, CUNY",NA,NA,Michael Scott Cuthber,MIT,"Hidden in Our Publications: New Concordances, Quotations, and Citations in Fourteenth-Century Music"
News from the Ars Nova ,AMS,Pavilion Ballroom A,Anne Stone,"Graduate Center, CUNY",NA,NA,Gillian Gower,Southern Methodist University,"Reassessing the Manuscript New York, Pierpont Morgan Library M. 978"
Performance and Conceptual Art in New York City ,AMS,Port McNeill,Alexa Woloshyn,Carnegie Mellon University,NA,NA,Caitlin Schmid,Harvard University,'Musicians Using Bizarre Sounds': Charlotte Moorman's New York Avant Garde Festival and Performance Art as Music
Performance and Conceptual Art in New York City ,AMS,Port McNeill,Alexa Woloshyn,Carnegie Mellon University,NA,NA,Maria Edurne Zuazu,"Graduate Center, CUNY","Audiotopias and Remembrance in the Reception of Janet Cardiff's The Forty Part Motet in New York City, 2001â€“14"
Regulating Pitch ,AMS,Port Alberni,Gregory Barne,Rice University,NA,NA,Michael Dodds,University of North Carolina School of the Arts,Internal and External Factors of Seicento Modal Conventions
Regulating Pitch ,AMS,Port Alberni,Gregory Barne,Rice University,NA,NA,Fanny Gribenski,"University of California, Los Angeles","Tuning the World: A History of Global Negotiations at the Crossroads of Aesthetics, Politics, Science, and Industry"
Transatlantic Utopias ,AMS,Pavilion Ballroom B,Stephanie Jensen-Moulton,Brooklyn College,NA,NA,Michael Accinno,"University of California, Davis",A Music Conservatory for the Blind? Francis Joseph Campbell's American Dream
Transatlantic Utopias ,AMS,Pavilion Ballroom B,Stephanie Jensen-Moulton,Brooklyn College,NA,NA,Samuel Dwinell,University of Akron,Afro-Wagnerism in Imperial London: Samuel Coleridge-Taylor's Thelma and the Endless Melody of Interracial Dreams
Musical Institutions in the Seventeenth Century ,AMS,Port Alberni,Margaret Murata,"University of California, Irvine",NA,NA,Mollie Ables,Indiana University,The Chiesa di Santa Maria della Consolazione and Giovanni Legrenzi's Early Venetian Career: 1671â€“77
Musical Institutions in the Seventeenth Century ,AMS,Port Alberni,Margaret Murata,"University of California, Irvine",NA,NA,Arne Spohr,Bowling Green State University,Privileged Dependency: The Legal and Social Position of Black Court Trumpeters in Seventeenth-Century Germany
Paris Streets in the Nineteenth Century ,AMS,Pavilion Ballroom B,Steven Huebner,McGill University,NA,NA,Jacek Blaszkiewicz,"Eastman School of Music, University of Rochester",Listening to the Old City: Street Cries and Urbanization in Second-Empire Paris
Paris Streets in the Nineteenth Century ,AMS,Pavilion Ballroom B,Steven Huebner,McGill University,NA,NA,Nicole Vilkner,Rutgers University,Musiciens ambulants: The Politics of Sound and Street Space in Nineteenth-Century Paris
de Rore ,AMS,Pavilion Ballroom A,Robert Kendrick,University of Chicago,M. Jennifer Bloxam,Williams College,David Crook,University of Wisconsin-Madison,Da le belle contrade and the 'stella matutina'
de Rore ,AMS,Pavilion Ballroom A,Robert Kendrick,University of Chicago,M. Jennifer Bloxam,Williams College,Jessie Ann Owens,"University of California, Davis",Scarco di doglia and 'il bel pensier'
Video Games ,AMS,Port McNeill,William Cheng,Dartmouth College,NA,NA,William Gibbons,Texas Christian University,The Sounds in the Machine: Hirokazu Tanaka's Cybernetic Soundscape for Metroid
Video Games ,AMS,Port McNeill,William Cheng,Dartmouth College,NA,NA,Joseph E. Jones,Texas A&M University-Kingsville,Encultured Musical Codes in Bear McCreary's Video Game and TV Soundtracks
Music and Medievalism: New Critical Approaches ,AMS,Port Alberni,Stephen Meyer,University of Cincinnati,NA,NA,NA,NA,NA
New Directions in Post-Soviet Musicology ,AMS,Port McNeill,Vladimir Orlov,Smolny-Bard College / St. Petersburg State University,Richard Taruskin,"University of California, Berkeley",NA,NA,NA
for an Emergent Field ,AMS,Pavilion Ballroom B,Solis,University of Illinois at Urbana-Champaign,NA,NA,NA,NA,NA
Music and the Middlebrow ,AMS,Pavilion Ballroom A,Stephen Hinton,Stanford University,Benjamin Pieku,Cornell University,NA,NA,NA
Case Studies in Radiophonic Art ,AMS,Grand Ballroom A,Michael Gallope,University of Minnesota,NA,NA,Kate Galloway,Wesleyan University/Memorial University of Newfoundland,Soundscaping the Radio: Sonic Witnessing and the Resonances of Experimental Radio Soundwork through Electroacoustic Soundscape Composition
Case Studies in Radiophonic Art ,AMS,Grand Ballroom A,Michael Gallope,University of Minnesota,NA,NA,John Klaess,Yale University,105.9 WHBI-FM and the Cassette Economy of Early Hip Hop
Case Studies in Radiophonic Art ,AMS,Grand Ballroom A,Michael Gallope,University of Minnesota,NA,NA,Danielle Simon,"University of California, Berkeley",In Search of a Futurist Radio Aesthetic
Case Studies in Radiophonic Art ,AMS,Grand Ballroom A,Michael Gallope,University of Minnesota,NA,NA,Alexander Stalarow,"University of California, Davis",Pierre Schaeffer's La coquille Ã  planÃ¨tes and Experiments in French Wartime Radio Production
"Music, Class, and the Great War ",AMS,Port McNeill,Alain Frogley,University of Connecticu,NA,NA,Emily C. Hoyler,School of the Art Institute of Chicago,Highbrow Bullies and Lowbrow Menaces: Judgments of Music and Taste in Interwar BBC Periodicals
"Music, Class, and the Great War ",AMS,Port McNeill,Alain Frogley,University of Connecticu,NA,NA,Michelle Meinhar,Durham University / Martin Methodist College,'It's a Long Way to Tipperary . . .' and Tennessee: Unlikely Musical Exchanges in the English Country House
"Music, Class, and the Great War ",AMS,Port McNeill,Alain Frogley,University of Connecticu,NA,NA,Rachel Moore,University of Oxford,Articulating Allied Identity: Cross-Channel Musical Exchange between Paris and London during World War I
"Music, Class, and the Great War ",AMS,Port McNeill,Alain Frogley,University of Connecticu,NA,NA,Vanessa Williams,University of Pennsylvania,"'Near to Reality, but Not Quite': Lena Ashwell's Concerts at the Front during the First World War"
Navigating the First Years on the Job ,SMT,Junior Ballroom C,Samuel Ng,University of Cincinnati,NA,NA,NA,NA,NA
Opera in Russia ,AMS,Grand Ballroom B,Inessa Bazayev,Louisiana State University,NA,NA,Elise Bonner,Columbia University,"Reassessing Russian Comic Opera: Singers, Aesthetics, and Success in Eighteenth-Century St. Petersburg"
Opera in Russia ,AMS,Grand Ballroom B,Inessa Bazayev,Louisiana State University,NA,NA,Marina Frolova-Walker,University of Cambridge,"Newspaper to Opera: Orango, Topicality, and the Documentary Aesthetic"
Opera in Russia ,AMS,Grand Ballroom B,Inessa Bazayev,Louisiana State University,NA,NA,Esti Sheinberg,University of Nebraska-Lincoln,Shostakovich's Lady Macbeth from the Mtzensk District: the finale of Scene Four as opera buffa parody
Opera in Russia ,AMS,Grand Ballroom B,Inessa Bazayev,Louisiana State University,NA,NA,Daniil Zavlunov,Stetson University,Opera as Policy during the Reign of Nicholas I: The
Practice ,SMT,Pavilion Ballroom D,Janet Schmalfeld,Tufts University,NA,NA,Benedict Taylor,University of Edinburgh,Mendelssohn and Sonata Form: The Case of op. 44 no. 2
Practice ,SMT,Pavilion Ballroom D,Janet Schmalfeld,Tufts University,NA,NA,Julian Horton,Durham University,Mendelssohn's Piano Trio op. 66 and the Analysis of Romantic Form
Practice ,SMT,Pavilion Ballroom D,Janet Schmalfeld,Tufts University,NA,NA,Steven Vande Moortele,University of Toronto,Expansion and Recomposition in Mendelssohn's Symphonic Sonata Forms
Practice ,SMT,Pavilion Ballroom D,Janet Schmalfeld,Tufts University,NA,NA,Thomas Grey,Stanford University,"Deformed Beauty? Form and Narrative in the Overture to the Tale of the Fair Melusine, op. 32"
Theatrical Voices ,AMS,Grand Ballroom C,Jonathan Glixon,University of Kentucky,NA,NA,Berta Joncus,"Goldsmiths, University of London",Scoring for Celebrity: The Authority of
Theatrical Voices ,AMS,Grand Ballroom C,Jonathan Glixon,University of Kentucky,NA,NA,Jessica Peritz,University of Chicago,"Orpheus, Timotheus, and the Politics of Voice in Enlightenment Italy"
Theatrical Voices ,AMS,Grand Ballroom C,Jonathan Glixon,University of Kentucky,NA,NA,Hendrik Schulze,University of North Texas,"Monteverdi, Cavalli, 'Natural' Depiction of Affection, and the Principle of Dialogue"
Theatrical Voices ,AMS,Grand Ballroom C,Jonathan Glixon,University of Kentucky,NA,NA,Emily Wilbourne,"Queens College / Graduate Center, CUNY","Ahi ghidy, Ahi Chavo: Racialized Difference and Theatrical Sound on the Early Modern Italian Stage"
,SMT,Pavilion Ballroom B,Jack Boss,University of Oregon,NA,NA,Jennifer Beavers,University of Texas at San Antonio,Timbrally-Marked Structures in Ravel's Piano Concertos
,SMT,Pavilion Ballroom B,Jack Boss,University of Oregon,NA,NA,Andrew Pau,Oberlin College & Conservatory,Plagal Systems in the Songs of FaurÃ© and Duparc
,SMT,Pavilion Ballroom B,Jack Boss,University of Oregon,NA,NA,Timothy Jackson,University of North Texas,Puccini's PellÃ©as and Butterfly's Transformations of Partimenti
,SMT,Pavilion Ballroom B,Jack Boss,University of Oregon,NA,NA,Catherine Nolan,University of Western Ontario,"Synergies of Musical and Poetic Transformation in Anton Webern's Second Cantata, op. 31"
Gastromusicology ,AMS,Junior Ballroom D,Massimo Ossi,Indiana University,NA,NA,Susan Lewis,University of Victoria,A Feast for the Senses: The Use of Culinary Rhetoric in Music Books of the Seventeenth Century
Gastromusicology ,AMS,Junior Ballroom D,Massimo Ossi,Indiana University,NA,NA,Pierpaolo Polzonetti,University of Notre Dame,"Banquets, Bacchanals, and the Birth of Opera: The Drinking Song in Politian's Orfeo"
Modernist Intermedia ,AMS,Grand Ballroom D,Stephen Hinton,Stanford University,NA,NA,Michael Christoforidis,University of Melbourne,Forging Cubist Music: Igor Stravinsky's
Modernist Intermedia ,AMS,Grand Ballroom D,Stephen Hinton,Stanford University,NA,NA,Stephanie Probs,Harvard University,"Making Points, Extending Lines: Visualizing Music at the Bauhaus"
Performing Difference in the City ,AMS,Junior Ballroom A/B,Loren Kajikawa,University of Oregon,NA,NA,Lauron Kehrer,"Eastman School of Music, University of Rochester",'Wut it is? Wut is up? Wut is wut?': New York City's Black Queer Rap as Genre
Performing Difference in the City ,AMS,Junior Ballroom A/B,Loren Kajikawa,University of Oregon,NA,NA,Natalie Oshukany,"Graduate Center, CUNY",'Brighton Beach Has Long Been Odessan': Willi Tokarev and the Third Wave Soviet Jewish Immigrant Community in 1980s New
,AMS,Pavilion Ballroom A,Joice Waterhouse Gibson,Metropolitan State University of Denver,NA,NA,Christa Evans,Princeton University,The Schaffner Manuscripts: Musical Commonplacing in an Age of Print
,AMS,Pavilion Ballroom A,Joice Waterhouse Gibson,Metropolitan State University of Denver,NA,NA,Glenda Goodman,University of Pennsylvania,Printing National Music: Form and Content in Post-Revolutionary America
Realism and Surrealism in French Film Music ,AMS,Port Alberni,Colin Rous,University of Kansas,NA,NA,Hannah Lewis,University of Texas at Austin,Surrealist Sounds: French Film Music and the Cinematic Avant-Garde
Realism and Surrealism in French Film Music ,AMS,Port Alberni,Colin Rous,University of Kansas,NA,NA,Leslie Sprou,Drew University,Realism in Theory and Practice in Early French Sound
Sound and Image ,SMT,Pavilion Ballroom C,Jonathan Bernard,University of Washington,NA,NA,Orit Hilewicz,Columbia University,"Reciprocal Interpretations of Music and Painting: Representation Types in Schuller, Tan, and Davies after Paul Klee"
Sound and Image ,SMT,Pavilion Ballroom C,Jonathan Bernard,University of Washington,NA,NA,Anna Gawboy,Ohio State University,Toward an Analysis of Visual Music
Late Quattrocento Song ,AMS,Pavilion Ballroom A,Giovanni Zanovello,Indiana University,NA,NA,Elizabeth Elmi,Indiana University,Written and Oral Practice in Late-Quattrocento Neapolitan Song
Late Quattrocento Song ,AMS,Pavilion Ballroom A,Giovanni Zanovello,Indiana University,NA,NA,Adam Knight Gilber,University of Southern California,Palindromic Play in the Anonymous Chansons of the Chansonnier El Escorial IV.a.24
Mediating the Blues ,AMS,Junior Ballroom A/B,Gabriel Solis,University of Illinois at Urbana-Champaign,NA,NA,Lawrence Davies,King's College London,"Journey to the Land of the Blues: Encounters and Exchange in British and European Visits to Chicago, 1957â€“60"
Mediating the Blues ,AMS,Junior Ballroom A/B,Gabriel Solis,University of Illinois at Urbana-Champaign,NA,NA,Gayle Murchison,College of William & Mary,"Chicago Blues in the Studio: Bill Putnam, Muddy Waters, 'Still a Fool' and the Chess Sound"
Music as Character in Film ,AMS,Port Alberni,Jordan Carmalt Stokes,Hunter College / The Juilliard School,NA,NA,Per Broman,Bowling Green State University,To Joy and Failure: Ingmar Bergman's Musicians
Music as Character in Film ,AMS,Port Alberni,Jordan Carmalt Stokes,Hunter College / The Juilliard School,NA,NA,Gregory Camp,University of Auckland,The Articulation of Performance and Character through Music in the Films of James Dean
Music for Stage and Screen ,SMT,Pavilion Ballroom C,James Buhler,University of Texas at Austin,NA,NA,Nathan Beary Blustein,Indiana University,Playwriting in Song: 'Reprise Types' in Stephen Sondheim's Sweeney Toddâ€‰
Music for Stage and Screen ,SMT,Pavilion Ballroom C,James Buhler,University of Texas at Austin,NA,NA,Frank Lehman,Tufts University,Film-As-Concert Music and the Formal Implications of 'Cinematic Listening'
Postwar ,AMS,Grand Ballroom D,Seth Brodsky,University of Chicago,NA,NA,Benjamin Downs,Stony Brook University,Vocal Immediacy and Lingual Mediation at the End of the Darmstadt School
Postwar ,AMS,Grand Ballroom D,Seth Brodsky,University of Chicago,NA,NA,Amy Bauer,"University of California, Irvine",Modernist Voice and the Failure of Language
Prima Donnas ,AMS,Junior Ballroom D,Karen Henson,University of Miami,NA,NA,Margaret Butler,University of Florida,"The Gabrielli Mystique: Sovereignty, Fandom, and the Prima Donna in Late Eighteenth-Century Italian Opera"
Prima Donnas ,AMS,Junior Ballroom D,Karen Henson,University of Miami,NA,NA,Charles Edward McGuire,Oberlin College & Conservatory,"'A Carnival or a Sacrament, a Fair or a Funeral': The Prima Donna at the 1820s British Musical Festival, 1824"
